"Sno";"Division_SeatNo";"Member_ID";"Session";"State";"Constituency";"Total_Sittings";"Sittings_Attended";"Zone";"Percent_Attendance";"Exp_status";"If_Numeric_Percent_Attendance"
88;143;"MP88";13;"Andhra Pradesh                                              ";"Secunderabad";32;25;"South";"78.1%";"Exp";1
89;144;"MP89";13;"Andhra Pradesh                                              ";"Nalgonda";32;24;"South";"75.0%";"Exp";1
90;145;"MP90";13;"Andhra Pradesh                                              ";"Amalapuram";32;26;"South";"81.3%";"Unexp";1
91;146;"MP91";13;"Andhra Pradesh                                              ";"Rajahmundry";32;32;"South";"100.0%";"Unexp";0
92;147;"MP92";13;"Andhra Pradesh                                              ";"Nandyal";32;7;"South";"21.9%";"Exp";0
93;148;"MP93";13;"Assam                                                       ";"Karimganj";32;29;"NE";"90.6%";"Exp";1
94;149;"MP94";13;"Gujarat                                                     ";"Jamnagar";32;1;"West";"3.1%";"Exp";0
95;150;"MP95";13;"Andhra Pradesh                                              ";"Vijayawada";32;25;"South";"78.1%";"Exp";1
96;151;"MP96";13;"Andhra Pradesh                                              ";"Vizianagaram";32;27;"South";"84.4%";"Exp";1
97;152;"MP97";13;"Chhattisgarh                                                ";"Nominated Anglo-Indian";32;30;"Central";"93.8%";"Exp";1
98;153;"MP98";13;"Andhra Pradesh                                              ";"Narsapuram";32;24;"South";"75.0%";"Exp";1
99;154;"MP99";13;"Gujarat                                                     ";"Valsad";32;29;"West";"90.6%";"Exp";1
100;155;"MP100";13;"Maharashtra                                                 ";"Mumbai-South-Central";32;31;"Central";"96.9%";"Exp";1
101;156;"MP101";13;"Manipur                                                     ";"Inner Manipur";32;32;"NE";"100.0%";"Unexp";0
102;157;"MP102";13;"Tamil Nadu                                                  ";"Arani";32;30;"South";"93.8%";"Exp";1
103;158;"MP103";13;"Uttar Pradesh                                               ";"Faizabad";32;28;"North";"87.5%";"Exp";1
104;160;"MP104";13;"Haryana                                                     ";"Bhiwani-Mahendragarh";32;27;"North";"84.4%";"Unexp";1
105;161;"MP105";13;"Gujarat                                                     ";"Dahod";32;32;"West";"100.0%";"Exp";0
106;162;"MP106";13;"Madhya Pradesh                                              ";"Shahdol";32;20;"Central";"62.5%";"Exp";1
107;163;"MP107";13;"West Bengal                                                 ";"Maldaha Uttar";32;5;"East";"15.6%";"Unexp";0
108;164;"MP108";13;"Uttar Pradesh                                               ";"Hathras";32;29;"North";"90.6%";"Exp";1
109;165;"MP109";13;"Uttar Pradesh                                               ";"Unnao";32;29;"North";"90.6%";"Exp";1
110;166;"MP110";13;"Madhya Pradesh                                              ";"Mandsour";32;21;"Central";"65.6%";"Exp";1
111;167;"MP111";13;"Rajasthan                                                   ";"Nagaur";32;31;"West";"96.9%";"Exp";1
112;168;"MP112";13;"Uttar Pradesh                                               ";"Amroha";32;11;"North";"34.4%";"Exp";0
113;169;"MP113";13;"Tamil Nadu                                                  ";"Virudhunagar";32;24;"South";"75.0%";"Exp";1
114;170;"MP114";13;"Andhra Pradesh                                              ";"Karimnagar";32;31;"South";"96.9%";"Exp";1
115;171;"MP115";13;"Madhya Pradesh                                              ";"Dewas";32;29;"Central";"90.6%";"Exp";1
116;172;"MP116";13;"West Bengal                                                 ";"Murshidabad";32;21;"East";"65.6%";"Exp";1
117;173;"MP117";13;"Tamil Nadu                                                  ";"Cuddalore";32;16;"South";"50.0%";"Exp";1
118;174;"MP118";13;"Madhya Pradesh                                              ";"Mandla";32;26;"Central";"81.3%";"Exp";1
119;175;"MP119";13;"Gujarat                                                     ";"Rajkot";32;21;"West";"65.6%";"Unexp";1
120;177;"MP120";13;"Andhra Pradesh                                              ";"Peddapalle";32;24;"South";"75.0%";"Unexp";1
121;178;"MP121";13;"Andhra Pradesh                                              ";"Zahirabad";32;24;"South";"75.0%";"Exp";1
122;180;"MP122";13;"Gujarat                                                     ";"Patan";32;19;"West";"59.4%";"Exp";1
123;181;"MP123";13;"Karnataka                                                   ";"Mysore";32;10;"South";"31.3%";"Exp";0
124;182;"MP124";13;"Karnataka                                                   ";"Chamrajanagar";32;15;"South";"46.9%";"Unexp";0
125;183;"MP125";13;"Kerala                                                      ";"Kannur";32;18;"South";"56.3%";"Exp";1
126;184;"MP126";13;"Jharkhand                                                   ";"Jamshedpur";32;28;"East";"87.5%";"Exp";1
127;185;"MP127";13;"Kerala                                                      ";"Kozhikode";32;20;"South";"62.5%";"Exp";1
128;186;"MP128";13;"Kerala                                                      ";"Chalakudy";32;32;"South";"100.0%";"Exp";0
129;187;"MP129";13;"Uttar Pradesh                                               ";"Ghosi";32;29;"North";"90.6%";"Exp";1
130;188;"MP130";13;"Bihar                                                       ";"Saran";32;19;"East";"59.4%";"Unexp";1
131;189;"MP131";13;"Jharkhand                                                   ";"Dumka";32;4;"East";"12.5%";"Exp";0
132;190;"MP132";13;"Tamil Nadu                                                  ";"Chennai North";32;30;"South";"93.8%";"Exp";1
133;191;"MP133";13;"West Bengal                                                 ";"Kolkata Uttar";32;22;"East";"68.8%";"Unexp";1
134;192;"MP134";13;"Maharashtra                                                 ";"Baramati";32;30;"Central";"93.8%";"Exp";1
135;193;"MP135";13;"Maharashtra                                                 ";"Satara";32;18;"Central";"56.3%";"Exp";1
136;194;"MP136";13;"Maharashtra                                                 ";"Nashik";32;23;"Central";"71.9%";"Exp";1
137;195;"MP137";13;"Tamil Nadu                                                  ";"Tiruvannamalai";32;22;"South";"68.8%";"Exp";1
138;196;"MP138";13;"West Bengal                                                 ";"Sreerampur";32;24;"East";"75.0%";"Exp";1
139;197;"MP139";13;"Tamil Nadu                                                  ";"Nagapattinam";32;23;"South";"71.9%";"Exp";1
140;198;"MP140";13;"Tamil Nadu                                                  ";"Krisnagiri";32;22;"South";"68.8%";"Exp";1
141;199;"MP141";13;"Tamil Nadu                                                  ";"Kallakurichi";32;19;"South";"59.4%";"Exp";1
142;200;"MP142";13;"Maharashtra                                                 ";"Thane";32;30;"Central";"93.8%";"Exp";1
143;201;"MP143";13;"Andhra Pradesh                                              ";"Hyderabad";32;25;"South";"78.1%";"Exp";1
144;202;"MP144";13;"Assam                                                       ";"Kokrajhar";32;24;"NE";"75.0%";"Unexp";1
145;203;"MP145";13;"Bihar                                                       ";"Vaishali";32;26;"East";"81.3%";"Exp";1
146;204;"MP146";13;"Jammu and Kashmir                                           ";"Ladakh";32;31;"North";"96.9%";"Unexp";1
147;205;"MP147";13;"Maharashtra                                                 ";"Kolhapur";32;22;"Central";"68.8%";"Exp";1
148;206;"MP148";13;"Tamil Nadu                                                  ";"Dharmapuri";32;29;"South";"90.6%";"Exp";1
149;207;"MP149";13;"Tamil Nadu                                                  ";"Vellore";32;17;"South";"53.1%";"Exp";1
150;208;"MP150";13;"West Bengal                                                 ";"Diamond Harbour";32;18;"East";"56.3%";"Exp";1
151;209;"MP151";13;"West Bengal                                                 ";"Kanthi";32;13;"East";"40.6%";"Exp";0
152;210;"MP152";13;"Assam                                                       ";"Dhubri";32;13;"NE";"40.6%";"Unexp";0
153;211;"MP153";13;"Jharkhand                                                   ";"Kodarma";32;10;"East";"31.3%";"Exp";0
154;212;"MP154";13;"Jammu and Kashmir                                           ";"Anantnag";32;31;"North";"96.9%";"Exp";1
155;213;"MP155";13;"Uttar Pradesh                                               ";"Domariyaganj";32;28;"North";"87.5%";"Unexp";1
156;214;"MP156";13;"Karnataka                                                   ";"Bidar";32;14;"South";"43.8%";"Unexp";0
157;215;"MP157";13;"Karnataka                                                   ";"Bangalore Rural";32;2;"South";"6.3%";"Unexp";1
158;216;"MP158";13;"West Bengal                                                 ";"Uluberia";32;19;"East";"59.4%";"Unexp";1
159;217;"MP159";13;"West Bengal                                                 ";"Barasat";32;25;"East";"78.1%";"Exp";1
160;218;"MP160";13;"Andhra Pradesh                                              ";"Bhongir";32;20;"South";"62.5%";"Exp";1
161;219;"MP161";13;"Andhra Pradesh                                              ";"Warangal";32;31;"South";"96.9%";"Exp";1
162;220;"MP162";13;"Rajasthan                                                   ";"Alwar";32;27;"West";"84.4%";"Exp";1
163;221;"MP163";13;"Uttar Pradesh                                               ";"Barabanki";32;32;"North";"100.0%";"Exp";0
164;222;"MP164";13;"Uttar Pradesh                                               ";"Bahraich";32;30;"North";"93.8%";"Unexp";1
165;223;"MP165";13;"Uttar Pradesh                                               ";"Shrawasti";32;20;"North";"62.5%";"Exp";1
166;224;"MP166";13;"Uttar Pradesh                                               ";"Maharajganj";32;22;"North";"68.8%";"Exp";1
167;225;"MP167";13;"Uttar Pradesh                                               ";"Bareilly";32;7;"North";"21.9%";"Exp";0
168;226;"MP168";13;"Uttarakhand                                                 ";"Almora";32;30;"North";"93.8%";"Exp";1
169;227;"MP169";13;"Tamil Nadu                                                  ";"Tirunelveli";32;30;"South";"93.8%";"Exp";1
170;228;"MP170";13;"Jammu and Kashmir                                           ";"Baramulla";32;30;"North";"93.8%";"Exp";1
171;229;"MP171";13;"Rajasthan                                                   ";"Jaipur";32;31;"West";"96.9%";"Unexp";1
172;230;"MP172";13;"Rajasthan                                                   ";"Kota";32;27;"West";"84.4%";"Unexp";1
173;231;"MP173";13;"Kerala                                                      ";"Ponnani";32;26;"South";"81.3%";"Exp";1
174;232;"MP174";13;"Rajasthan                                                   ";"Rajsamand";32;30;"West";"93.8%";"Unexp";1
175;233;"MP175";13;"Rajasthan                                                   ";"Udaipur";32;32;"West";"100.0%";"Exp";0
176;234;"MP176";13;"Rajasthan                                                   ";"Barmer";32;29;"West";"90.6%";"Unexp";1
177;235;"MP177";13;"Rajasthan                                                   ";"Pali";32;28;"West";"87.5%";"Exp";1
178;236;"MP178";13;"Rajasthan                                                   ";"Karauli-Dholpur";32;23;"West";"71.9%";"Exp";1
179;237;"MP179";13;"Rajasthan                                                   ";"Bharatpur";32;32;"West";"100.0%";"Exp";0
180;238;"MP180";13;"Uttar Pradesh                                               ";"Akbarpur";32;27;"North";"84.4%";"Exp";1
181;239;"MP181";13;"Rajasthan                                                   ";"Ganganagar";32;32;"West";"100.0%";"Exp";0
182;240;"MP182";13;"Uttar Pradesh                                               ";"Kheri";32;24;"North";"75.0%";"Exp";1
183;242;"MP183";13;"Kerala                                                      ";"Nominated Anglo-Indian";32;30;"South";"93.8%";"Unexp";1
184;243;"MP184";13;"Punjab                                                      ";"Jalandhar";32;30;"North";"93.8%";"Exp";1
185;244;"MP185";13;"Punjab                                                      ";"Gurdaspur";32;25;"North";"78.1%";"Unexp";1
186;245;"MP186";13;"Kerala                                                      ";"Idukki";32;22;"South";"68.8%";"Exp";1
187;246;"MP187";13;"Kerala                                                      ";"Wayanad";32;26;"South";"81.3%";"Unexp";1
188;247;"MP188";13;"Kerala                                                      ";"Pathanamthitta";32;23;"South";"71.9%";"Unexp";1
189;248;"MP189";13;"Kerala                                                      ";"Kollam";32;30;"South";"93.8%";"Exp";1
190;249;"MP190";13;"Bihar                                                       ";"Siwan";32;20;"East";"62.5%";"Unexp";1
191;250;"MP191";13;"Tamil Nadu                                                  ";"Ramanthapuram";32;18;"South";"56.3%";"Exp";1
192;251;"MP192";13;"Maharashtra                                                 ";"Mumbai-North-East";32;19;"Central";"59.4%";"Exp";1
193;252;"MP193";13;"Madhya Pradesh                                              ";"Rajgarh";32;26;"Central";"81.3%";"Unexp";1
194;253;"MP194";13;"Kerala                                                      ";"Kottayam";32;27;"South";"84.4%";"Exp";1
195;254;"MP195";13;"Jharkhand                                                   ";"Palamu";32;20;"East";"62.5%";"Exp";1
196;255;"MP196";13;"Karnataka                                                   ";"Mandya";32;3;"South";"9.4%";"Exp";1
197;256;"MP197";13;"Tamil Nadu                                                  ";"Chidambaram";32;21;"South";"65.6%";"Unexp";1
198;257;"MP198";13;"Sikkim                                                      ";"Sikkim";32;23;"NE";"71.9%";"Exp";1
199;258;"MP199";13;"Nagaland                                                    ";"Nagaland";32;3;"NE";"9.4%";"Exp";1
200;259;"MP200";13;"Maharashtra                                                 ";"Palghar";32;30;"Central";"93.8%";"Exp";1
201;260;"MP201";13;"Bihar                                                       ";"Buxar";32;32;"East";"100.0%";"Unexp";0
202;262;"MP202";13;"Tamil Nadu                                                  ";"Kanniyakumari";32;29;"South";"90.6%";"Unexp";1
203;263;"MP203";13;"Tamil Nadu                                                  ";"Thoothukkudi";32;20;"South";"62.5%";"Unexp";1
204;264;"MP204";13;"Madhya Pradesh                                              ";"Hoshangabad";32;24;"Central";"75.0%";"Exp";1
205;265;"MP205";13;"Madhya Pradesh                                              ";"Ujjain";32;22;"Central";"68.8%";"Exp";1
206;266;"MP206";13;"Maharashtra                                                 ";"Gadchiroli-Chimur";32;29;"Central";"90.6%";"Exp";1
207;267;"MP207";13;"Maharashtra                                                 ";"Bhiwandi";32;29;"Central";"90.6%";"Unexp";1
208;268;"MP208";13;"Maharashtra                                                 ";"Latur";32;28;"Central";"87.5%";"Exp";1
209;269;"MP209";13;"Maharashtra                                                 ";"Ratnagiri-Sindhudurg";32;15;"Central";"46.9%";"Exp";0
210;270;"MP210";13;"Manipur                                                     ";"Outer Manipur";32;32;"NE";"100.0%";"Exp";0
211;271;"MP211";13;"Orissa                                                      ";"Nabarangpur";32;9;"East";"28.1%";"Exp";0
212;272;"MP212";13;"Orissa                                                      ";"Sambalpur";32;28;"East";"87.5%";"Exp";1
213;273;"MP213";13;"Orissa                                                      ";"Sundargarh";32;25;"East";"78.1%";"Unexp";1
214;274;"MP214";13;"Orissa                                                      ";"Bargarh";32;29;"East";"90.6%";"Unexp";1
215;275;"MP215";13;"Mizoram                                                     ";"Mizoram";32;31;"NE";"96.9%";"Exp";1
216;276;"MP216";13;"Uttar Pradesh                                               ";"Mainpuri";32;28;"North";"87.5%";"Unexp";1
217;277;"MP217";13;"Karnataka                                                   ";"Hassan";32;7;"South";"21.9%";"Exp";0
218;278;"MP218";13;"Uttar Pradesh                                               ";"Allahabad";32;31;"North";"96.9%";"Exp";1
219;279;"MP219";13;"Uttar Pradesh                                               ";"Lalganj";32;31;"North";"96.9%";"Exp";1
220;280;"MP220";13;"West Bengal                                                 ";"Ghatal";32;29;"East";"90.6%";"Exp";1
221;281;"MP221";13;"West Bengal                                                 ";"Kolkata Dakshin";32;6;"East";"18.8%";"Exp";0
222;282;"MP222";13;"West Bengal                                                 ";"Dum Dum";32;30;"East";"93.8%";"Exp";1
223;283;"MP223";13;"Uttar Pradesh                                               ";"Kaushambi ";32;30;"North";"93.8%";"Exp";1
224;284;"MP224";13;"Uttar Pradesh                                               ";"Sant Kabir Nagar";32;22;"North";"68.8%";"Exp";1
225;285;"MP225";13;"Tamil Nadu                                                  ";"Karur";32;31;"South";"96.9%";"Exp";1
226;286;"MP226";13;"Uttar Pradesh                                               ";"Kannauj";32;6;"North";"18.8%";"Unexp";0
227;287;"MP227";13;"Uttar Pradesh                                               ";"Misrikh";32;29;"North";"90.6%";"Exp";1
228;288;"MP228";13;"Uttar Pradesh                                               ";"Sambhal";32;31;"North";"96.9%";"Exp";1
229;289;"MP229";13;"Tripura                                                     ";"Tripura East";32;27;"NE";"84.4%";"Exp";1
230;290;"MP230";13;"Tamil Nadu                                                  ";"Salem";32;32;"South";"100.0%";"Unexp";0
231;291;"MP231";13;"Uttar Pradesh                                               ";"Etah";32;13;"North";"40.6%";"Exp";0
232;292;"MP232";13;"Uttar Pradesh                                               ";"Kaiserganj";32;29;"North";"90.6%";"Exp";1
233;293;"MP233";13;"Uttar Pradesh                                               ";"Machhlishahr";32;22;"North";"68.8%";"Exp";1
234;294;"MP234";13;"Uttar Pradesh                                               ";"Saharanpur";32;29;"North";"90.6%";"Exp";1
235;295;"MP235";13;"Uttar Pradesh                                               ";"Hamirpur";32;31;"North";"96.9%";"Exp";1
236;296;"MP236";13;"West Bengal                                                 ";"Bolpur";32;27;"East";"84.4%";"Exp";1
237;297;"MP237";13;"Tripura                                                     ";"Tripura West";32;21;"NE";"65.6%";"Exp";1
238;298;"MP238";13;"Tamil Nadu                                                  ";"Mayiladuthurai";32;30;"South";"93.8%";"Unexp";1
239;299;"MP239";13;"Uttar Pradesh                                               ";"Banda";32;27;"North";"84.4%";"Exp";1
240;300;"MP240";13;"Uttar Pradesh                                               ";"Mohanlalganj";32;28;"North";"87.5%";"Unexp";1
241;301;"MP241";13;"Uttar Pradesh                                               ";"Fatehpur Sikri";32;30;"North";"93.8%";"Exp";1
242;302;"MP242";13;"Uttar Pradesh                                               ";"Kairana";32;31;"North";"96.9%";"Unexp";1
243;303;"MP243";13;"West Bengal                                                 ";"Medinipur";32;29;"East";"90.6%";"Exp";1
244;304;"MP244";13;"West Bengal                                                 ";"Asansol";32;12;"East";"37.5%";"Unexp";0
245;305;"MP245";13;"Tamil Nadu                                                  ";"Tiruvallur";32;30;"South";"93.8%";"Exp";1
246;306;"MP246";13;"Tamil Nadu                                                  ";"Chennai South";32;25;"South";"78.1%";"Exp";1
247;307;"MP247";13;"Jharkhand                                                   ";"Singhbhum";32;3;"East";"9.4%";"Exp";1
248;308;"MP248";13;"West Bengal                                                 ";"Mathurapur";32;7;"East";"21.9%";"Unexp";0
249;309;"MP249";13;"West Bengal                                                 ";"Basirhat";32;7;"East";"21.9%";"Exp";0
250;310;"MP250";13;"Uttar Pradesh                                               ";"Chandauli";32;26;"North";"81.3%";"Exp";1
251;311;"MP251";13;"Uttar Pradesh                                               ";"Fatehpur";32;24;"North";"75.0%";"Unexp";1
252;312;"MP252";13;"Uttar Pradesh                                               ";"Aligarh";32;32;"North";"100.0%";"Unexp";0
253;313;"MP253";13;"Uttar Pradesh                                               ";"Sitapur";32;20;"North";"62.5%";"Unexp";1
254;314;"MP254";13;"Tamil Nadu                                                  ";"Coimbatore";32;31;"South";"96.9%";"Exp";1
255;315;"MP255";13;"Kerala                                                      ";"Attingal";32;21;"South";"65.6%";"Unexp";1
256;316;"MP256";13;"West Bengal                                                 ";"Alipurduars";32;24;"East";"75.0%";"Unexp";1
257;317;"MP257";13;"Tamil Nadu                                                  ";"Viluppuram";32;32;"South";"100.0%";"Exp";0
258;318;"MP258";13;"West Bengal                                                 ";"Barrackpur";32;28;"East";"87.5%";"Exp";1
259;319;"MP259";13;"West Bengal                                                 ";"Bangaon";32;29;"East";"90.6%";"Unexp";1
260;320;"MP260";13;"Uttar Pradesh                                               ";"Etawah";32;28;"North";"87.5%";"Exp";1
261;321;"MP261";13;"Uttar Pradesh                                               ";"Badaun";32;19;"North";"59.4%";"Exp";1
262;322;"MP262";13;"Uttar Pradesh                                               ";"Ballia";32;32;"North";"100.0%";"Unexp";0
263;323;"MP263";13;"Uttar Pradesh                                               ";"Bhadohi ";32;29;"North";"90.6%";"Unexp";1
264;324;"MP264";13;"Uttar Pradesh                                               ";"Jaunpur";32;23;"North";"71.9%";"Exp";1
265;325;"MP265";13;"West Bengal                                                 ";"Bishnupur";32;27;"East";"84.4%";"Exp";1
266;326;"MP266";13;"West Bengal                                                 ";"Bardhaman Purba";32;24;"East";"75.0%";"Exp";1
267;327;"MP267";13;"West Bengal                                                 ";"Jhargram";32;28;"East";"87.5%";"Exp";1
268;328;"MP268";13;"Tamil Nadu                                                  ";"Pollachi";32;32;"South";"100.0%";"Exp";0
269;329;"MP269";13;"West Bengal                                                 ";"Howrah";32;12;"East";"37.5%";"Unexp";0
270;330;"MP270";13;"West Bengal                                                 ";"Tamluk";32;13;"East";"40.6%";"Exp";0
271;331;"MP271";13;"Uttar Pradesh                                               ";"Hardoi";32;30;"North";"93.8%";"Exp";1
272;332;"MP272";13;"Uttar Pradesh                                               ";"Mirzapur";32;19;"North";"59.4%";"Exp";1
273;333;"MP273";13;"Uttar Pradesh                                               ";"Ambedkar Nagar";32;26;"North";"81.3%";"Exp";1
274;334;"MP274";13;"Uttar Pradesh                                               ";"Deoria";32;29;"North";"90.6%";"Exp";1
275;335;"MP275";13;"West Bengal                                                 ";"Bardhaman-Durgapur";32;28;"East";"87.5%";"Exp";1
276;336;"MP276";13;"West Bengal                                                 ";"Jalpaiguri";32;31;"East";"96.9%";"Unexp";1
277;337;"MP277";13;"Tamil Nadu                                                  ";"Tiruppur";32;28;"South";"87.5%";"Exp";1
278;338;"MP278";13;"West Bengal                                                 ";"Birbhum";32;30;"East";"93.8%";"Unexp";1
279;339;"MP279";13;"West Bengal                                                 ";"Krishnanagar";32;31;"East";"96.9%";"Exp";1
280;340;"MP280";13;"West Bengal                                                 ";"Ranaghat";32;29;"East";"90.6%";"Exp";1
281;341;"MP281";13;"Uttar Pradesh                                               ";"Robertsganj";32;29;"North";"90.6%";"Unexp";1
282;342;"MP282";13;"Uttar Pradesh                                               ";"Jalaun";32;27;"North";"84.4%";"Exp";1
283;343;"MP283";13;"Uttar Pradesh                                               ";"Bulandshahr";32;27;"North";"84.4%";"Unexp";1
284;344;"MP284";13;"Uttar Pradesh                                               ";"Basti";32;31;"North";"96.9%";"Unexp";1
285;345;"MP285";13;"Madhya Pradesh                                              ";"Rewa";32;30;"Central";"93.8%";"Exp";1
286;346;"MP286";13;"Uttar Pradesh                                               ";"Salempur";32;28;"North";"87.5%";"Exp";1
287;347;"MP287";13;"Kerala                                                      ";"Alathur";32;28;"South";"87.5%";"Exp";1
288;348;"MP288";13;"Kerala                                                      ";"Palakkad";32;26;"South";"81.3%";"Exp";1
289;349;"MP289";13;"Tamil Nadu                                                  ";"Tenkasi";32;31;"South";"96.9%";"Exp";1
290;350;"MP290";13;"Tamil Nadu                                                  ";"Tiruchirappalli";32;32;"South";"100.0%";"Exp";0
291;351;"MP291";13;"Maharashtra                                                 ";"Osmanabad";32;23;"Central";"71.9%";"Unexp";1
292;352;"MP292";13;"West Bengal                                                 ";"Hooghly";32;30;"East";"93.8%";"Exp";1
293;353;"MP293";13;"West Bengal                                                 ";"Jadavpur";32;6;"East";"18.8%";"Exp";0
294;354;"MP294";13;"Uttar Pradesh                                               ";"Shahjahanpur";32;27;"North";"84.4%";"Unexp";1
295;355;"MP295";13;"Uttar Pradesh                                               ";"Nagina";32;32;"North";"100.0%";"Unexp";0
296;356;"MP296";13;"Uttar Pradesh                                               ";"Ghazipur";32;26;"North";"81.3%";"Exp";1
297;357;"MP297";13;"Uttar Pradesh                                               ";"Phulpur";32;24;"North";"75.0%";"Unexp";1
298;358;"MP298";13;"Uttar Pradesh                                               ";"Gautam Buddha Nagar";32;28;"North";"87.5%";"Exp";1
299;359;"MP299";13;"Uttar Pradesh                                               ";"Muzaffarnagar";32;22;"North";"68.8%";"Exp";1
300;360;"MP300";13;"Orissa                                                      ";"Jagatsinghpur";32;27;"East";"84.4%";"Exp";1
301;361;"MP301";13;"West Bengal                                                 ";"Arambagh";32;20;"East";"62.5%";"Exp";1
302;362;"MP302";13;"West Bengal                                                 ";"Balurghat";32;23;"East";"71.9%";"Exp";1
303;363;"MP303";13;"Andhra Pradesh                                              ";"Nellore";32;16;"South";"50.0%";"Exp";1
304;364;"MP304";13;"West Bengal                                                 ";"Joynagar";32;17;"East";"53.1%";"Exp";1
305;365;"MP305";13;"West Bengal                                                 ";"Bankura";32;28;"East";"87.5%";"Exp";1
306;366;"MP306";13;"Bihar                                                       ";"Madhepura";32;23;"East";"71.9%";"Exp";1
307;367;"MP307";13;"Orissa                                                      ";"Bhadrak";32;24;"East";"75.0%";"Exp";1
308;368;"MP308";13;"Maharashtra                                                 ";"Raigad";32;28;"Central";"87.5%";"Unexp";1
309;369;"MP309";13;"Bihar                                                       ";"Hajipur";32;31;"East";"96.9%";"Exp";1
310;370;"MP310";13;"Orissa                                                      ";"Cuttack";32;32;"East";"100.0%";"Exp";0
311;371;"MP311";13;"Kerala                                                      ";"Kasaragod";32;26;"South";"81.3%";"Exp";1
312;372;"MP312";13;"Maharashtra                                                 ";"Aurangabad";32;27;"Central";"84.4%";"Exp";1
313;373;"MP313";13;"Maharashtra                                                 ";"Amravati";32;0;"Central";"0.0%";"Unexp";0
314;374;"MP314";13;"Bihar                                                       ";"Munger";32;31;"East";"96.9%";"Exp";1
315;375;"MP315";13;"Andhra Pradesh                                              ";"Mahabubnagar";32;1;"South";"3.1%";"Exp";0
316;376;"MP316";13;"Punjab                                                      ";"Khadoor Sahib";32;30;"North";"93.8%";"Unexp";1
317;377;"MP317";13;"Orissa                                                      ";"Bhubaneswar";32;22;"East";"68.8%";"Exp";1
318;378;"MP318";13;"Maharashtra                                                 ";"Yavatmal-Washim";32;21;"Central";"65.6%";"Exp";1
