"Sno";"Division_SeatNo";"Member_ID";"Session";"State";"Constituency";"Total_Sittings";"Sittings_Attended";"Zone";"Percent_Attendance";"Exp_status";"If_Numeric_Percent_Attendance"
379;440;"MP379";13;"Maharashtra                                                 ";"Hatkanangle";32;21;"Central";"65.6%";"Exp";1
380;441;"MP380";13;"Orissa                                                      ";"Berhampur";32;14;"East";"43.8%";"Exp";0
381;442;"MP381";13;"Orissa                                                      ";"Mayurbhanj";32;15;"East";"46.9%";"Exp";0
382;443;"MP382";13;"Bihar                                                       ";"Banka";32;29;"East";"90.6%";"Exp";1
383;444;"MP383";13;"Bihar                                                       ";"Nalanda";32;31;"East";"96.9%";"Exp";1
384;445;"MP384";13;"Bihar                                                       ";"Samastipur";32;29;"East";"90.6%";"Exp";1
385;446;"MP385";13;"Punjab                                                      ";"Ferozpur";32;22;"North";"68.8%";"Unexp";1
386;447;"MP386";13;"Assam                                                       ";"Tezpur";32;24;"NE";"75.0%";"Exp";1
387;448;"MP387";13;"Himachal Pradesh                                            ";"Shimla";32;32;"North";"100.0%";"Exp";0
388;449;"MP388";13;"Karnataka                                                   ";"Koppal";32;19;"South";"59.4%";"Unexp";1
389;450;"MP389";13;"Karnataka                                                   ";"Haveri";32;19;"South";"59.4%";"Exp";1
390;451;"MP390";13;"Himachal Pradesh                                            ";"Kangra";32;30;"North";"93.8%";"Exp";1
391;452;"MP391";13;"Karnataka                                                   ";"Chikkodi";32;14;"South";"43.8%";"Exp";0
392;453;"MP392";13;"Karnataka                                                   ";"Raichur";32;10;"South";"31.3%";"Unexp";0
393;454;"MP393";13;"Uttar Pradesh                                               ";"Varanasi";32;27;"North";"84.4%";"Exp";1
394;455;"MP394";13;"Uttar Pradesh                                               ";"Ghaziabad";32;20;"North";"62.5%";"Exp";1
395;456;"MP395";13;"Maharashtra                                                 ";"Beed";32;24;"Central";"75.0%";"Exp";1
396;457;"MP396";13;"Gujarat                                                     ";"Gandhinagar";32;28;"West";"87.5%";"Unexp";1
397;460;"MP397";13;"Bihar                                                       ";"Patna Sahib";32;25;"East";"78.1%";"Exp";1
398;461;"MP398";13;"Bihar                                                       ";"Bhagalpur";32;29;"East";"90.6%";"Unexp";1
399;462;"MP399";13;"Bihar                                                       ";"Madhubani";32;32;"East";"100.0%";"Unexp";0
400;463;"MP400";13;"Jharkhand                                                   ";"Hazaribagh";32;32;"East";"100.0%";"Exp";0
401;464;"MP401";13;"Chhattisgarh                                                ";"Raipur";32;29;"Central";"90.6%";"Unexp";1
402;465;"MP402";13;"Karnataka                                                   ";"Bangalore South";32;19;"South";"59.4%";"Exp";1
403;466;"MP403";13;"West Bengal                                                 ";"Darjeeling";32;28;"East";"87.5%";"Exp";1
404;467;"MP404";13;"Uttar Pradesh                                               ";"Aonla";32;28;"North";"87.5%";"Exp";1
405;468;"MP405";13;"Assam                                                       ";"Silchar";32;28;"NE";"87.5%";"Unexp";1
406;470;"MP406";13;"Assam                                                       ";"Gauhati";32;27;"NE";"84.4%";"Unexp";1
407;471;"MP407";13;"Gujarat                                                     ";"Ahmedabad East";32;28;"West";"87.5%";"Unexp";1
408;473;"MP408";13;"Madhya Pradesh                                              ";"Bhopal";32;28;"Central";"87.5%";"Exp";1
409;474;"MP409";13;"Madhya Pradesh                                              ";"Indore";32;30;"Central";"93.8%";"Exp";1
410;475;"MP410";13;"Uttar Pradesh                                               ";"Gorakhpur";32;20;"North";"62.5%";"Exp";1
411;476;"MP411";13;"Gujarat                                                     ";"Bhavnagar";32;30;"West";"93.8%";"Exp";1
412;477;"MP412";13;"Madhya Pradesh                                              ";"Morena";32;8;"Central";"25.0%";"Unexp";0
413;478;"MP413";13;"Madhya Pradesh                                              ";"Gwalior";32;25;"Central";"78.1%";"Exp";1
414;479;"MP414";13;"Chhattisgarh                                                ";"Raigarh";32;7;"Central";"21.9%";"Unexp";0
415;480;"MP415";13;"Bihar                                                       ";"Purvi Champaran ";32;25;"East";"78.1%";"Exp";1
416;481;"MP416";13;"Goa                                                         ";"North Goa";32;27;"Central";"84.4%";"Exp";1
417;482;"MP417";13;"Bihar                                                       ";"Katihar";32;30;"East";"93.8%";"Exp";1
418;483;"MP418";13;"Maharashtra                                                 ";"Ahmednagar";32;26;"Central";"81.3%";"Exp";1
419;484;"MP419";13;"Karnataka                                                   ";"Uttara Kannada";32;14;"South";"43.8%";"Exp";0
420;485;"MP420";13;"Uttar Pradesh                                               ";"Azamgarh";32;24;"North";"75.0%";"Exp";1
421;486;"MP421";13;"Rajasthan                                                   ";"Churu";32;30;"West";"93.8%";"Exp";1
422;487;"MP422";13;"Gujarat                                                     ";"Bharuch";32;26;"West";"81.3%";"Exp";1
423;488;"MP423";13;"Karnataka                                                   ";"Tumkur";32;7;"South";"21.9%";"Exp";0
424;489;"MP424";13;"Karnataka                                                   ";"Bangalore North";32;14;"South";"43.8%";"Exp";0
425;490;"MP425";13;"Uttar Pradesh                                               ";"Lucknow";32;30;"North";"93.8%";"Exp";1
426;491;"MP426";13;"Madhya Pradesh                                              ";"Bhind";32;27;"Central";"84.4%";"Unexp";1
